小区编号,小区面积,300m公交站点计数,300m站点密度,300m地铁站数量,300m地铁站点密度,地铁站周围300m公交线路数,:地铁站周围500m公交线路数,支路长度（m）,次干道长度（m）,主干道长度（m）,快速路长度（m）,总长（m）,支路密度（km/km2）,次干道密度(km/km2),主干道密度(km/km2),快速路密度(km/km2),总道路密度(km/km2),快线长度（m）,普通线长度（m）,晚班车长度（m）,支线长度（m）,住宅POI集聚水平（签到次数/km2）,政府机构POI集聚水平（签到次数/km2）,娱乐POI集聚水平（签到次数/km2）,未知分类POI集聚水平（签到次数/km2）,旅游景点POI集聚水平（签到次数/km2）,酒店宾馆POI集聚水平（签到次数/km2）,金融POI集聚水平（签到次数/km2）,教育POI集聚水平（签到次数/km2）,交通设施POI集聚水平（签到次数/km2）,地点标志POI集聚水平（签到次数/km2）,飞机场POI集聚水平（签到次数/km2）,公共设施POI集聚水平（签到次数/km2）,公司POI集聚水平（签到次数/km2）,购物POI集聚水平（签到次数/km2）,公交线路长度（m）,公交线路密度（km/km2）,公交线网长度,公交线网密度(km/km2),轨道线路长度,轨道线网密度(km/km2),建成环境FAC1_1,建成环境FAC2_1,建成环境FAC3_1,建成环境综合评分,人口（人）,人口密度（人/km2）,小汽车可达性（分钟）,公交可达性（分钟）,延时指数,300m内公交站300m服务面积,餐饮300m内公交站服务范围内POI（签到次数/km2）,地点标志300m内公交站服务范围内POI（签到次数/km2）,飞机场300m内公交站服务范围内POI（签到次数/km2）,公共设施300m内公交站服务范围内POI（签到次数/km2）,公司300m内公交站服务范围内POI（签到次数/km2）,购物300m内公交站服务范围内POI（签到次数/km2）,交通设施300m内公交站服务范围内POI（签到次数/km2）,教育300m内公交站服务范围内POI（签到次数/km2）,金融300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆300m内公交站服务范围内POI（签到次数/km2）,旅游景点300m内公交站服务范围内POI（签到次数/km2）,未知分类300m内公交站服务范围内POI（签到次数/km2）,娱乐300m内公交站服务范围内POI（签到次数/km2）,政府机构300m内公交站服务范围内POI（签到次数/km2）,住宅300m内公交站服务范围内POI（签到次数/km2）,餐饮集聚300m内公交站服务范围内POI（签到次数/km2）,地点标志集聚300m内公交站服务范围内POI（签到次数/km2）,飞机场集聚300m内公交站服务范围内POI（签到次数/km2）,公共设施集聚300m内公交站服务范围内POI（签到次数/km2）,公司集聚300m内公交站服务范围内POI（签到次数/km2）,购物集聚300m内公交站服务范围内POI（签到次数/km2）,交通设施集聚300m内公交站服务范围内POI（签到次数/km2）,教育集聚300m内公交站服务范围内POI（签到次数/km2）,金融集聚300m内公交站服务范围内POI（签到次数/km2）,酒店宾馆集聚300m内公交站服务范围内POI（签到次数/km2）,旅游景点集聚300m内公交站服务范围内POI（签到次数/km2）,未知分类集聚300m内公交站服务范围内POI（签到次数/km2）,娱乐集聚300m内公交站服务范围内POI（签到次数/km2）,政府机构集聚300m内公交站服务范围内POI（签到次数/km2）,住宅集聚300m内公交站服务范围内POI（签到次数/km2）,FAC1_1公交站点服务范围,FAC2_1公交站点服务范围,FAC3_1公交站点服务范围,,0时签到总数,1时签到总数,2时签到总数,3时签到总数,4时签到总数,5时签到总数,6时签到总数,7时签到总数,8时签到总数,9时签到总数,10时签到总数,11时签到总数,12时签到总数,13时签到总数,14时签到总数,15时签到总数,16时签到总数,17时签到总数,18时签到总数,19时签到总数,20时签到总数,21时签到总数,22时签到总数,23时签到总数,签到总数总计
337,2.222238,34,15.29989137,0,0,,,0,2107.292265,284.6095025,0,2391.901768,0,0.948274786,0.128073367,0,1.076348153,0,5305.93831,0,3916.531657,19.34986262,0,3.149977635,1.79998722,0,52.19962938,0,81.89941851,141.2989968,11.24992013,0,4.949964855,1.79998722,125.9991054,43871.2233,19.74191032,6496.326759,2.923326286,,,-0.270502126,-0.217464157,-0.301851415,-0.264367717,20753.48456,9339.001745,1915.185832,7498.805102,3.915445163,3.8147535,986,41,,157,42,283,746,212,7,425,39,117,1498,,629,258.4701738,10.74774556,0,41.1560013,11.0098857,74.18565839,195.5565412,55.57370876,1.83498095,111.4095577,10.22346529,30.67039587,392.6859232,0,164.8861453,-0.140314703,-0.513487057,-0.263180204,-0.242945399,97,47,17,10,7,8,11,31,46,62,43,35,51,46,32,34,37,48,49,61,89,94,99,122,1176
338,4.750434,33,6.946733709,0,0,,,0,1990.654463,717.8583642,3544.965878,6253.478705,0,0.419046862,0.15111427,0.746240423,1.316401555,3485.472494,3485.336002,0,3976.210159,0,0.421014164,6.315212463,0.210507082,0,95.78072235,0,0.421014164,0,2.947099149,0,0,9.683325776,0.210507082,91922.31227,19.35029773,10511.26923,2.212696616,,,-0.314409988,-0.246015947,-0.230035602,-0.280425004,27593.2875,5808.582437,2137.014403,8606.379346,4.027291222,5.0470695,,14,,3,47,15,100,2,,455,,9,31,2,,0,2.773886906,0,0.594404337,9.312334613,2.972021685,19.8134779,0.396269558,0,90.15132445,0,1.783213011,6.142178149,0.396269558,0,-0.485474727,-0.270784198,-0.116924713,-0.36928813,11,8,1,3,4,4,9,25,30,20,34,25,45,34,24,19,27,21,42,37,36,34,29,29,551
339,1.973446,26,13.17492346,1,0.506727825,20,22,4846.992377,1315.790462,175.8705783,733.6104136,7072.263831,2.456105907,0.666747639,0.089118516,0.37174081,3.583712871,1219.308536,5062.989771,0,4265.623895,851.8094744,0,36.48440342,395.2477038,0,798.6030527,2.026911301,4.053822603,2419.625366,27.36330257,0,158.6058093,25.33639127,1117.334855,137567.1888,69.7091224,7800.151244,3.952553677,3044.598385,1.542782718,0.389301074,0.410096319,-0.198028264,0.271563749,17442.80662,8838.755466,1683.368041,6625.549522,3.935888861,2.8658888,689,1116,,355,58,2218,6037,24,4,1699,,1443,3447,,1799,240.4140733,389.407991,0,123.8708215,20.23804971,773.9309355,2106.501829,8.374365398,1.395727566,592.8352838,0,503.5087195,1202.76823,0,627.7284729,0.693671933,-0.799420678,-0.590284322,0.13102934,999,579,337,161,104,88,129,274,356,411,535,489,490,468,484,470,410,484,473,588,658,835,974,1249,12045
340,4.062136,20,4.92351807,1,0.246175904,43,45,9689.192291,0,2039.351806,3172.7908,14901.3349,2.385245667,0,0.502039273,0.781064642,3.668349582,2066.292609,5204.174832,0,2490.044268,676.7375588,0,13.53967469,10.33938795,0,2.215583132,0,0.246175904,1.723231325,10.33938795,0,243.2217927,3.446462649,10.58556385,148913.4862,36.65891202,7804.595047,1.921303237,,,-0.357331546,-0.018631822,-0.265032806,-0.257046418,30615.15055,7536.712348,1631.494835,7131.721081,4.371280208,3.4183648,215,1072,,985,7,58,256,,,12,,750,3420,,3368,62.89556925,313.6002337,0,288.1494684,2.04776272,16.96717682,74.88960804,0,0,3.510450377,0,219.4031485,1000.478357,0,985.2664057,-0.042943521,-0.749308561,-0.094677022,-0.202511535,370,143,72,31,33,24,44,128,187,132,176,163,135,144,132,152,132,130,185,211,244,341,427,427,4163
341,2.830604,55,19.43048197,2,0.706562981,17,20,8312.968474,3501.773358,0,0,11814.74183,2.936817893,1.237111711,0,0,4.173929604,0,9360.312446,0,5159.653647,216.9148351,0.706562981,80.19489833,776.8659975,0.706562981,233.5190652,0.35328149,43.45362333,96.0925654,16.60423005,0,215.8549907,45.92659376,662.7560761,166801.5241,58.92789104,12872.69024,4.547683194,,,0.032157606,0.14603659,0.035953385,0.060185198,28168.68164,9951.473834,2008.998971,6456.57805,3.21382845,5.8367696,1164,748,,932,264,2497,1785,292,3,2158,36,3592,611,24,3440,199.4253808,128.1530797,0,159.6773667,45.23049873,427.8051339,305.8198494,50.02767284,0.51398294,369.7250616,6.167795282,615.408907,104.6811921,4.111863521,589.3671047,0.006723334,-0.027896093,-0.091769106,-0.01950763,470,275,153,106,70,51,67,121,229,253,288,361,383,412,331,302,336,333,404,368,418,449,635,660,7475
342,2.429268,41,16.87751207,0,0,,,4101.419084,5077.53412,2392.84268,0,11571.79588,1.688335369,2.090149839,0.98500564,0,4.763490847,0,10374.40686,0,5082.981296,1130.793309,0,233.4036426,659.0462641,0,522.7912276,0.411646636,93.03213972,316.9679097,13.58433899,0,125.9638706,36.22490396,2308.514334,141235.9631,58.13930909,11988.45626,4.935007688,,,0.609724709,0.476123341,-0.131057725,0.423001998,24407.50215,10047.26615,2070.644033,7495.428425,3.619853681,4.3832097,1358,46,,634,108,6151,1253,283,1,1906,18,1717,622,2,3309,309.8186245,10.49459258,0,144.642863,24.63947823,1403.309543,285.8635762,64.56455871,0.228143317,434.8411622,4.106579706,391.7220753,141.9051432,0.456286634,754.9262359,0.373281234,-0.197424173,-0.068866432,0.167551711,911,536,312,195,103,114,133,359,382,487,566,666,634,659,549,661,651,673,691,824,903,901,1050,1119,14079
343,1.005012,6,5.970077969,0,0,,,4236.370581,1778.473185,438.8363856,407.3083694,6860.988521,4.215243779,1.76960393,0.436647906,0.40527712,6.826772736,451.1024091,2573.6472,0,0,4770.092297,0,1.99002599,31.84041584,3.980051979,7.960103959,0,682.5789145,0,7.960103959,0,113.4314814,0,19.9002599,58935.86226,58.64194882,1581.076978,1.573192139,,,-0.072180925,-0.142460858,-0.3169052,-0.140118791,10003.07465,9953.189265,2358.302277,9143.22428,3.877036616,1.3236169,487,11,1883,15,106,27,27,,,6,,32,1,,4817,367.9312345,8.310561765,1422.617073,11.33258422,80.08359519,20.3986516,20.3986516,0,0,4.53303369,0,24.17617968,0.755505615,0,3639.270547,-0.30298439,0.034116598,-0.337855864,-0.238264616,475,189,96,50,50,29,105,132,221,199,281,256,348,306,221,200,223,226,262,314,304,421,570,691,6169
344,7.130463,29,4.067057076,0,0,,,0,0,7362.398864,6111.374348,13473.77321,0,0,1.032527462,0.857079596,1.889607058,5730.447277,0,0,4014.124043,0,0,0,0,0,0,0,0,7.15241072,0,0,22.1584489,0.56097339,0,37619.09937,5.275828424,16475.18528,2.310535134,,,-0.373363256,-0.246479816,-0.29907482,-0.327497591,29173.99651,4091.458929,2224.072614,10241.26392,4.604734511,5.2022815,,,,157,,,51,1,,,,,,,,0,0,0,30.17906663,0,0,9.80339107,0.192223354,0,0,0,0,0,0,0,-0.544256162,-0.318202349,-0.02603736,-0.396947183,14,3,6,1,3,2,3,8,7,11,7,9,10,11,6,4,11,12,11,10,8,15,22,19,213
345,2.918837,13,4.4538287,0,0,,,0,0,1376.536808,0,1376.536808,0,0,0.471604549,0,0.471604549,0,0,0,0,0,0,0,0.342602208,0,0,0,0,34.60282297,0,0,0,0.685204415,0.685204415,19314.17018,6.617077342,2892.106988,0.990842239,,,-0.370426297,-0.26972322,-0.299175034,-0.331456309,11977.66066,4103.572985,2113.397119,9346.104976,4.422313673,2.5098398,,,,,2,2,101,5,,,,3,,,,0,0,0,0,0.796863609,0.796863609,40.24161223,1.992159021,0,0,0,1.195295413,0,0,0,-0.55010001,-0.332081554,-0.073629072,-0.412503223,6,0,0,1,0,0,0,2,6,2,2,4,5,2,3,2,6,1,6,7,9,11,17,14,106
346,2.22019,,,,,,,0,2118.006041,0,0,2118.006041,0,0.953975129,0,0,0.953975129,957.5833609,5047.559554,0,4999.328803,,,,,,,,,,,,,,,,,,,,,,,,0,,,2284.080247,10198.82447,4.465177825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2.560529,23,8.982518847,1,0.390544298,23,24,1274.236613,4423.757866,0,1821.51258,7519.507059,0.497645843,1.727673409,0,0.711381351,2.936700603,0,2635.363359,0,1650.944733,1128.67302,0,0,17.96503769,0,7.029797358,0,0.781088595,10.93524034,1164.212551,0,1.171632893,165.2002379,11.32578463,40444.44778,15.79534845,5956.658681,2.326339081,2898.403005,1.131954766,-0.30678832,-0.288318262,1.036542578,-0.021709341,24435.21655,9543.034486,1702.029835,6327.432856,3.717580459,3.008903,799,24,,10,448,93,5100,14,,264,,178,39,11,2352,265.5452834,7.976328915,0,3.323470381,148.8914731,30.90827454,1694.969894,4.652858533,0,87.73961806,0,59.15777278,12.96153449,3.655817419,781.6802336,-0.278396712,0.43711521,-0.565331894,-0.181872739,625,362,168,81,38,50,62,176,187,216,227,251,253,217,223,194,200,262,254,309,390,491,696,759,6691
348,4.02365,,,,,,,3018.951251,0,0,1291.111193,4310.062444,0.750301654,0,0,0.320880592,1.071182246,3256.141224,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,1747.629747,9121.250175,5.219212016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,1.630475,26,15.94627333,0,0,,,6735.919453,0,2782.351253,0,9518.270706,4.131262027,0,1.706466676,0,5.837728702,0,1768.118398,0,2517.20945,344.0715129,0,94.45100354,162.5293243,31.27922845,14.10631871,0,529.906929,26.98600101,8.586454867,0,332.418467,5.519863843,2730.492648,99962.05271,61.30854672,2899.704023,1.778441266,,,0.089880208,0.744330923,-0.379781744,0.148267931,16485.06702,10110.59171,2124.194444,7551.61486,3.555048777,3.2079904,928,55,,782,96,8033,1021,392,1,1310,4,2182,572,,4197,289.2776736,17.14468971,0,243.7663155,29.92527658,2504.059863,318.2677853,122.1948794,0.311721631,408.3553367,1.246886524,680.176599,178.304773,0,1308.295686,0.670638108,-0.148637378,0.081477278,0.384046968,677,381,182,97,67,48,74,170,203,290,246,275,249,210,217,272,233,258,266,339,392,522,677,735,7080
350,3.229694,39,12.0754474,2,0.619253713,10,15,8941.793309,4547.757241,3791.551635,0,17281.10219,2.768619352,1.408107778,1.173966213,0,5.350693343,0,7210.720393,0,6372.295141,2707.686858,0,69.97566952,118.2774591,0,345.5435716,0.619253713,39.94186446,1632.352786,36.22634219,0,10.21768626,12.38507425,192.8975315,141789.4481,43.90182107,10482.86468,3.245776436,3027.719555,0.937463288,-0.055100048,-0.149555303,-0.223940472,-0.112965128,25207.74812,7804.995805,2188.49384,7422.130272,3.39143302,5.353085,1202,142,,290,51,3134,5388,534,5,1181,2,1355,4376,,9881,224.5434175,26.5267598,0,54.17436861,9.527216549,585.4567973,1006.522407,99.75556151,0.934040838,220.620446,0.373616335,253.1250671,817.4725415,0,1845.851504,0.21936855,-0.742097617,-0.429621637,-0.108829939,1350,658,368,165,100,120,155,306,517,598,707,749,767,759,716,634,638,707,724,914,1087,1161,1431,1629,16960
351,3.275157,41,12.51848385,0,0,,,0,4064.68176,3295.895816,0,7360.577576,0,1.241064706,1.006332159,0,2.247396866,1898.085316,3076.242891,0,8620.807854,0,0,0,0,0,5.801248612,0,0,0.305328874,3.358617617,0,0,0,0.305328874,43967.22091,13.42446207,8996.51453,2.746895654,,,-0.367314387,-0.267944004,-0.305052898,-0.330541349,31636.15627,9659.431981,2386.231959,9859.886503,4.131989963,5.2332182,1,16,,,29,1,2,,,164,,,2,,,0.191087006,3.057392103,0,0,5.541523187,0.191087006,0.382174013,0,0,31.33826906,0,0,0.382174013,0,0,-0.528040878,-0.300097088,-0.0936463,-0.396414034,5,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,10,1,1,1,0,0,3,3,32
352,3.432801,,,,,,,0,0,3223.187507,0,3223.187507,0,0,0.938938059,0,0.938938059,0,578.7261594,0,4320.350477,,,,,,,,,,,,,,,,,,,,,,,,0,,,2391.23299,10047.92179,4.201983593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,5.374621,29,5.395729299,0,0,,,0,0,4263.599049,0,4263.599049,0,0,0.793283666,0,0.793283666,0,1688.942258,0,0,0.372119262,0,1.674536679,6.698146716,0,0.372119262,0,1.488477048,75.16809092,378.6313491,0,51.53851779,15.629009,2.604834834,77492.49324,14.4182247,11897.66438,2.213675044,,,-0.375684679,-0.218026099,-0.174803287,-0.29601,32738.30906,6091.277703,2349.49177,9657.403545,4.110422377,5.9589868,10,2035,,417,91,93,502,7,,1,,9,8,,,1.678137632,341.5010082,0,69.97833927,15.27105245,15.60667998,84.24250915,1.174696343,0,0.167813763,0,1.510323869,1.342510106,0,0,-0.525133614,-0.211702193,-0.01285337,-0.360453045,118,78,34,30,10,13,30,65,75,217,127,103,93,93,71,98,89,137,183,209,221,247,266,266,2873
354,3.232671,,,,,,,4098.897661,5433.025738,0,2736.072668,12267.99607,1.267960043,1.680661514,0,0.846381419,3.795002976,2127.549646,2972.266863,0,4487.315383,,,,,,,,,,,,,,,,,,,,,,,,0,,,2113.004107,9004.479932,4.261458793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,3.303717,,,,,,,0,3764.814625,0,0,3764.814625,0,1.139569347,0,0,1.139569347,2100.487763,3100.810932,0,5056.897258,,,,,,,,,,,,,,,,,,,,,,,,0,,,2278.808008,9709.368367,4.260722418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,13.510669,,,,,,,0,0,0,1711.279941,1711.279941,0,0,0,0.126661377,0.126661377,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,2905.952381,12821.82922,4.412264049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,3.306807,53,16.02754561,0,0,,,0,1007.243952,5404.107488,0,6411.35144,0,0.304597139,1.634237344,0,1.938834483,4826.178985,5372.168577,0,8395.102043,0.604813042,0,1.209626083,21.7732695,0,391.6164445,0.604813042,0,8.164976063,3.024065209,0,4.838504334,32.96231077,1199.344262,157362.0873,47.58732135,10292.07809,3.112391527,,,0.016953864,0.165984935,-0.122915577,0.023372255,33130.18324,10018.78345,2418.307613,10609.68371,4.387234963,6.5698657,70,29,,33,141,4025,61,11,4,1295,,423,117,,2,10.6547079,4.414093274,0,5.022933726,21.46162592,612.6457045,9.284816888,1.674311242,0.608840452,197.1120962,0,64.38487776,17.80858321,0,0.304420226,-0.240050665,-0.19916268,-0.157211271,-0.215497839,285,164,105,61,54,43,58,107,139,228,358,308,307,290,251,279,321,247,244,234,314,347,400,388,5532
358,1.542446,8,5.186567309,0,0,,,0,0,1884.335575,0,1884.335575,0,0,1.221654162,0,1.221654162,0,1516.11973,0,1259.389117,1.944962741,0,0,0,0,0,0,0,1.944962741,0,0,0,8.428171878,0,9421.58956,6.108213552,1149.975694,0.745553292,,,-0.37081296,-0.27108228,-0.236063958,-0.318808957,15710.39545,10185.37793,2694.710472,10649.0034,3.951817277,1.5751405,,,,,13,,3,,,,,,,,38,0,0,0,0,8.253232013,0,1.904592003,0,0,0,0,0,0,0,24.12483204,-0.547827656,-0.291152608,-0.096112105,-0.406791163,1,1,1,0,0,0,1,1,0,1,3,1,2,0,0,1,0,0,1,1,0,1,3,0,19
359,2.828844,16,5.656020622,0,0,,,0,0,3146.46718,0,3146.46718,0,0,1.112280204,0,1.112280204,0,2669.78039,0,5796.104458,0,0,0,0,0,0,55.49970235,0,2.474509022,0,0,30.40111084,0,0,33972.83878,12.00944229,7451.263911,2.634031396,,,-0.374400202,-0.23768795,-0.30324466,-0.326838498,25282.75515,8937.486532,2459.61191,10243.65884,4.16474599,2.561708,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550574502,-0.336441368,-0.07124782,-0.413252907,17,5,0,1,3,0,2,4,36,15,7,13,22,8,9,6,5,7,4,8,9,15,21,33,250
360,10.500011,,,,,,,0,0,1079.086833,0,1079.086833,0,0,0.102770067,0,0.102770067,0,1531.635745,0,1093.894918,,,,,,,,,,,,,,,,,,,,,,,,0,,,2725.238144,12004.69057,4.405006071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,1.905543,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,1960.640657,8559.957823,4.365898357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,4.968295,,,,,,,0,0,3441.562422,362.3259639,3803.888386,0,0,0.692704926,0.072927627,0.765632553,504.4386798,2687.830843,0,9364.257454,,,,,,,,,,,,,,,,,,,,,,,,0,,,1968.655031,9776.585034,4.966124019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,2.068153,,,,,,,0,516.9865608,2035.528539,0,2552.5151,0,0.249975007,0.984225316,0,1.234200323,1062.882252,2576.896947,0,1799.594929,,,,,,,,,,,,,,,,,,,,,,,,0,,,2162.839836,9960.911905,4.605478288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,4.845516,,,,,,,0,3154.725615,0,1362.120744,4516.846359,0,0.651060819,0,0.281109534,0.932170353,2201.080696,6181.574962,0,1056.572961,,,,,,,,,,,,,,,,,,,,,,,,0,,,2402.13963,10737.63197,4.470028235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,9.532496,,,,,,,0,0,0,2825.013198,2825.013198,0,0,0,0.296356085,0.296356085,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,3829.956341,14775.95248,3.857995017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,3.576011,,,,,,,2289.560621,0,1365.031708,1356.440926,5011.033255,0.640255475,0,0.381719102,0.379316766,1.401291343,0.414671074,0,0,3101.377751,,,,,,,,,,,,,,,,,,,,,,,,0,,,2336.267967,9407.154082,4.026573242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,4.144813,,,,,,,7627.408846,1833.269648,3311.437854,0,12772.11635,1.840229908,0.44230455,0.798935405,0,3.081469863,4234.984792,9441.471715,0,11957.61669,,,,,,,,,,,,,,,,,,,,,,,,0,,,2204.957906,9209.657823,4.176795302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,5.10331,,,,,,,0,0,2037.21671,4185.519065,6222.735775,0,0,0.399195171,0.820157714,1.219352886,0,4118.799798,0,6048.740372,,,,,,,,,,,,,,,,,,,,,,,,0,,,2519.290722,10728.03586,4.258355642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,2.223133,,,,,,,3176.639295,0,0,983.2139323,4159.853227,1.428902047,0,0,0.442265007,1.871167054,0,1470.489315,0,2670.889891,,,,,,,,,,,,,,,,,,,,,,,,0,,,2320.868583,10483.92959,4.517243961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,6.255532,22,3.516887133,0,0,,,3298.476901,0,0,399.0359026,3697.512804,0.52728959,0,0,0.063789283,0.591078873,0,1923.192601,0,0,50.51528791,0,3.357028627,0,2.238019085,0,0,5.275330699,44.12094767,0.159858506,0,0.479575518,0,0,37157.07887,5.939875117,5112.559404,0.817286108,,,-0.368131479,-0.271477062,-0.304138542,-0.331646222,20239.45634,3235.449254,1726.791753,7875.114754,4.560546887,4.0369058,39,10,,4,21,19,310,43,,8,,26,16,,20,9.660864517,2.477144748,0,0.990857899,5.20200397,4.706575021,76.79148718,10.65172242,0,1.981715798,0,6.440576344,3.963431597,0,4.954289496,-0.538997892,-0.311293349,-0.088513466,-0.40433483,61,18,11,9,4,5,6,19,30,19,22,22,25,20,17,28,35,26,25,28,30,43,68,93,664
371,3.093445,7,2.262849348,0,0,,,0,182.5390917,0,374.5172422,557.0563339,0,0.059008352,0,0.121068014,0.180076366,0,2231.218554,0,907.5413766,0,0,0,0,0,0,0,0,0,0.969792578,0,0,3.232641925,0,27384.8624,8.85254543,3488.895458,1.127834973,,,-0.370027123,-0.27028953,-0.278418483,-0.327034772,8590.530844,2777.011017,1561.380503,10015.11354,6.414268348,1.1266934,3,3,,,8,,7,,,2,,,,,,2.662658714,2.662658714,0,0,7.100423238,0,6.212870334,0,0,1.77510581,0,0,0,0,0,-0.545537778,-0.297676259,-0.093253299,-0.406259226,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,2,5,1,0,1,0,0,16
372,2.955453,25,8.458940135,0,0,,,0,4262.958517,0,0,4262.958517,0,1.442404436,0,0,1.442404436,0,4052.994616,0,0,110.3045794,0,1.015072816,1.353430422,0,4.060291265,1.015072816,3.383576054,159.3664322,9.135655346,0,60.22765376,11.50415858,18.6096683,108501.492,36.71230502,5112.754889,1.729939501,,,-0.368320335,-0.202420804,-0.209412274,-0.295444283,28979.73569,9805.513974,1942.138144,8568.464822,4.411871961,3.4555163,21,23,,181,13,55,510,9,3,13,,3,8,,335,6.077239456,6.656024166,0,52.38001627,3.762100616,15.91657953,147.5901011,2.604531196,0.868177065,3.762100616,0,0.868177065,2.31513884,0,96.94643894,-0.527327068,-0.286262269,-0.006097278,-0.376260142,95,50,18,10,13,17,18,26,48,29,54,46,46,45,38,36,32,52,66,58,63,77,96,113,1146
373,3.098007,12,3.873458001,0,0,,,966.0626789,3270.842359,0,0,4236.905038,0.311833601,1.055789209,0,0,1.36762281,0,0,0,2201.951039,427.0487446,0,0.645576333,40.02573267,0,124.5962324,0,1.936729,0,0.645576333,0,379.9216722,0,0,13001.32956,4.196675332,4797.885322,1.548700607,,,-0.341095048,0.169247232,-0.293547091,-0.209110798,831.2714949,268.3246019,3747.993814,13533.54167,3.610876202,2.0660844,221,2,,1177,,,,3,,225,,123,1,,1323,106.9656206,0.968014666,0,569.6766308,0,0,0,1.452021999,0,108.9016499,0,59.53290195,0.484007333,0,640.3417014,-0.299265847,0.007061121,0.750661878,-0.032933168,173,101,52,31,13,14,47,57,84,115,144,181,166,169,168,184,155,149,186,178,155,172,188,190,3072
374,2.042256,16,7.834473249,0,0,,,0,0,518.7727659,1085.966531,1604.739297,0,0,0.25401946,0.531748484,0.785767943,0,422.6995857,0,3108.270437,0.979309156,0,5.386200359,0,0.489654578,0,0,8.324127827,0,0.489654578,0,0.489654578,69.04129551,0,6340.494148,3.104651987,4217.771655,2.0652512,,,-0.368344424,-0.283288411,0.258555948,-0.217024849,18243.44247,8932.985125,2703.037988,9617.180952,3.557915573,2.5622787,3,1,,78,103,6,41,17,,,1,10,11,,93,1.170832822,0.390277607,0,30.44165336,40.19859354,2.341665643,16.00138189,6.634719322,0,0,0.390277607,3.902776072,4.293053679,0,36.29581747,-0.527805625,-0.100250568,-0.148719617,-0.364503243,12,6,2,3,3,1,5,8,12,4,10,3,3,11,5,7,6,7,11,6,12,7,21,12,177
